# t x y z vx vy vz
0.00 -377.77 611.47 -284.60 73.03 -72.14 49.53
0.07 -372.42 606.23 -281.09 74.91 -76.63 52.87
0.14 -367.22 600.88 -277.49 73.47 -75.61 50.52
0.21 -360.96 594.79 -273.71 70.54 -78.50 55.72
0.29 -356.48 589.85 -270.41 71.38 -80.13 50.24
0.36 -351.28 584.14 -266.96 71.88 -82.67 48.37
0.43 -346.16 578.31 -263.62 68.75 -81.69 45.40
0.50 -341.66 572.60 -260.52 68.57 -82.35 41.91
0.57 -336.53 566.22 -256.78 65.06 -82.21 44.29
0.64 -331.96 560.22 -253.51 63.83 -84.02 44.62
0.71 -327.76 554.33 -250.35 57.48 -82.54 43.83
0.79 -323.83 548.53 -247.26 52.42 -80.62 43.66
0.86 -320.26 543.01 -244.39 46.88 -76.36 41.70
0.93 -316.79 537.69 -241.54 45.49 -72.25 39.65
1.00 -314.21 532.80 -238.25 45.73 -68.40 41.55
1.07 -310.34 527.69 -235.12 42.26 -65.20 48.63
1.14 -307.19 523.02 -231.55 45.35 -62.34 49.02
1.21 -304.28 518.56 -227.63 47.57 -61.54 53.13
1.29 -300.39 514.02 -223.91 47.62 -61.29 58.75
1.36 -296.83 509.68 -219.79 52.39 -61.16 59.60
1.43 -292.96 505.27 -215.52 54.79 -62.49 62.58
1.50 -288.93 500.85 -211.06 59.11 -62.81 62.76
1.57 -284.72 496.35 -206.50 60.44 -63.56 63.42
1.64 -280.22 491.72 -201.83 63.59 -65.11 66.02
1.71 -275.57 487.01 -197.07 69.97 -68.26 66.91
1.79 -270.59 482.12 -192.13 73.80 -69.13 68.16
1.86 -265.43 477.27 -187.32 76.79 -71.91 69.45
1.93 -260.03 472.15 -182.15 77.98 -70.88 71.00
2.00 -254.42 467.03 -177.26 79.31 -73.36 71.51
2.07 -248.72 461.65 -172.15 81.62 -77.83 72.42
2.14 -242.65 456.01 -167.02 84.15 -81.33 75.25
2.21 -236.33 450.15 -161.76 85.92 -82.56 74.00
2.29 -230.09 444.39 -156.66 90.35 -84.26 71.72
2.36 -224.00 438.14 -151.06 92.43 -87.65 71.39
2.43 -217.60 431.70 -145.70 89.70 -91.72 71.34
2.50 -211.17 425.09 -140.46 91.22 -94.65 73.17
2.57 -204.66 418.26 -135.17 92.86 -96.49 73.94
2.64 -198.11 411.24 -129.78 91.24 -96.52 73.55
2.71 -191.41 404.20 -124.48 92.86 -98.86 73.13
2.79 -184.53 396.96 -119.11 94.00 -102.07 77.00
2.86 -177.80 389.60 -113.57 96.49 -104.21 77.36
2.93 -170.88 382.00 -107.94 95.87 -105.77 77.16
3.00 -163.83 374.14 -102.28 96.87 -111.34 79.59
3.07 -156.72 365.92 -96.37 97.67 -112.72 82.89
3.14 -149.33 357.47 -90.38 101.46 -118.95 83.56
3.21 -142.03 348.79 -84.31 102.80 -121.87 83.61
3.29 -134.46 339.75 -78.22 107.24 -130.06 87.43
3.36 -127.55 330.78 -71.81 112.22 -134.27 86.37
3.43 -118.78 320.12 -65.39 113.35 -144.92 88.24
3.50 -110.56 309.51 -59.23 119.24 -158.33 87.47
3.57 -102.06 297.83 -52.99 116.90 -169.72 90.32
3.64 -93.47 285.37 -46.92 122.84 -182.87 86.62
3.71 -84.41 271.68 -41.13 124.34 -200.69 82.37
3.79 -75.74 256.19 -34.92 122.87 -226.95 70.98
3.86 -66.47 239.15 -30.99 122.89 -260.23 53.36
3.93 -58.44 219.15 -28.24 96.06 -299.62 13.20
4.00 -53.56 197.83 -29.50 42.44 -285.15 -53.01
4.07 -51.60 179.82 -35.19 18.74 -232.69 -68.99
4.14 -50.68 165.34 -39.97 21.05 -186.38 -59.21
4.21 -49.46 153.34 -43.62 26.49 -159.82 -41.50
4.29 -48.08 142.94 -46.06 27.79 -135.99 -25.94
4.36 -46.69 133.95 -47.23 26.38 -115.34 -14.80
4.43 -45.55 126.32 -47.89 22.38 -99.88 -4.53
4.50 -44.46 119.92 -48.20 23.71 -83.05 0.21
4.57 -43.26 114.45 -48.19 19.62 -67.66 4.65
4.64 -41.89 108.94 -46.72 15.15 -54.54 9.11
4.71 -40.77 105.47 -45.96 14.99 -43.84 14.26
4.79 -39.78 102.89 -45.08 13.01 -32.74 14.93
4.86 -38.68 100.99 -43.94 16.40 -22.30 16.73
4.93 -37.54 99.91 -42.79 17.05 -11.47 17.53
5.00 -36.14 99.47 -41.60 19.41 -4.01 21.76
