# t x y z vx vy vz
5.07 -34.73 99.49 -40.00 20.12 4.98 24.41
5.14 -33.12 100.17 -38.25 22.94 13.85 27.88
5.21 -31.28 101.39 -36.21 27.12 19.60 33.61
5.29 -29.41 103.10 -33.76 26.63 28.55 37.54
5.36 -27.22 105.52 -31.11 30.35 37.08 42.07
5.43 -24.99 108.52 -28.00 34.22 48.25 45.78
5.50 -22.45 112.28 -24.63 37.59 55.69 52.10
5.57 -19.75 116.90 -20.73 44.14 70.28 58.80
5.64 -16.60 122.55 -16.35 49.12 87.25 68.41
5.71 -13.01 129.65 -11.34 60.69 110.49 80.03
5.79 -8.30 138.71 -5.09 80.92 147.05 98.87
5.86 -0.52 150.71 3.24 197.12 148.43 134.21
5.93 10.50 156.78 9.18 119.87 20.56 64.17
6.00 17.62 157.90 12.18 50.90 -6.59 39.23
6.07 21.85 156.39 13.98 8.34 -21.28 22.19
6.14 23.81 152.80 15.35 -14.49 -50.91 8.27
6.21 24.17 147.13 16.03 -52.24 -116.10 -21.14
6.29 24.74 141.27 15.97 56.09 0.60 50.13
6.36 27.44 139.78 17.98 36.36 -8.43 50.78
6.43 29.54 138.31 20.05 29.27 -28.01 41.01
6.50 28.52 136.54 21.88 36.42 -34.52 31.42
6.57 32.84 134.26 24.29 37.70 -25.69 49.21
6.64 34.60 132.73 26.94 41.88 -26.81 43.33
6.71 37.11 131.14 29.79 42.45 -26.79 42.12
6.79 40.40 129.19 32.18 37.04 -34.54 31.06
6.86 43.39 127.02 34.24 39.42 -32.49 31.55
6.93 44.60 125.50 36.37 38.34 -33.92 27.06
7.00 47.02 123.26 38.29 40.85 -33.96 27.00
7.07 49.37 120.70 40.14 34.33 -34.88 14.83
7.14 52.07 118.26 41.99 34.54 -30.68 15.07
7.21 54.49 116.19 43.63 33.37 -27.95 14.37
7.29 56.97 114.18 45.27 34.42 -29.55 14.63
7.36 59.61 112.34 46.91 36.27 -25.13 18.95
7.43 62.11 110.67 48.49 34.51 -22.42 19.51
7.50 64.86 109.02 50.05 37.15 -22.66 22.68
7.57 67.46 107.51 51.56 35.68 -22.65 24.82
7.64 70.14 106.13 53.20 34.78 -21.15 20.91
7.71 72.69 104.51 54.68 31.69 -19.78 21.57
7.79 75.41 103.26 56.01 33.49 -16.18 20.10
7.86 78.07 101.99 57.49 32.38 -18.75 19.96
7.93 80.68 100.44 59.03 32.79 -20.70 16.59
8.00 83.34 99.14 60.69 34.06 -18.07 21.12
8.07 85.88 97.81 62.47 34.34 -18.67 22.32
8.14 88.07 96.59 64.28 33.07 -16.57 24.52
8.21 90.45 95.42 66.09 34.63 -15.84 25.97
8.29 92.71 94.13 68.16 35.67 -20.84 31.12
8.36 95.02 92.67 70.31 36.99 -20.31 35.55
8.43 97.38 91.17 72.27 37.49 -24.06 32.40
8.50 99.80 89.38 74.30 34.49 -28.39 32.64
8.57 102.49 87.42 76.40 35.90 -28.44 29.94
8.64 105.04 85.38 78.16 33.63 -33.61 23.44
8.71 107.53 83.17 79.98 29.52 -31.37 25.15
8.79 109.75 81.31 81.94 32.62 -28.08 23.34
8.86 112.20 79.29 83.65 32.08 -29.25 20.82
8.93 114.26 77.32 85.28 31.95 -27.37 21.86
9.00 116.45 75.36 87.06 32.24 -26.13 19.71
9.07 118.49 73.34 88.58 29.24 -24.53 21.67
9.14 120.55 71.40 90.33 30.61 -25.16 21.16
9.21 122.52 69.39 91.91 29.44 -25.18 18.72
9.29 124.43 67.27 93.26 31.41 -26.39 19.60
9.36 126.45 65.45 94.67 31.19 -26.46 21.87
9.43 128.45 63.67 96.07 27.18 -25.43 21.67
9.50 130.36 62.19 97.39 24.88 -20.84 19.92
9.57 132.28 60.76 98.87 25.18 -14.68 22.31
9.64 134.42 59.77 100.38 29.03 -13.31 23.10
9.71 136.66 58.72 102.18 31.62 -13.28 23.71
9.79 139.05 57.82 104.13 33.02 -14.51 25.27
9.86 141.66 56.96 106.26 33.91 -18.73 25.56
9.93 144.03 55.79 108.24 32.75 -20.22 30.21
10.00 146.47 54.78 110.56 36.62 -20.50 31.49
10.07 148.97 53.49 112.68 33.38 -19.29 31.89
10.14 151.46 52.21 114.81 31.24 -18.14 33.27
10.21 154.09 50.92 116.81 34.16 -19.14 30.51
10.29 156.72 49.38 118.96 34.41 -19.58 29.34
10.36 159.51 47.75 121.22 36.29 -19.91 28.17
10.43 162.14 46.03 123.13 34.84 -24.99 27.97
10.50 164.80 44.04 125.53 33.08 -31.67 25.70
10.57 167.00 41.99 127.56 31.94 -31.03 19.60
10.64 169.30 40.02 129.30 28.82 -29.80 19.38
10.71 171.18 38.08 130.85 31.24 -25.91 17.23
10.79 173.14 36.36 132.22 26.73 -22.14 19.97
10.86 174.72 34.55 133.60 28.29 -18.64 19.09
10.93 176.31 32.95 134.84 27.79 -16.86 21.51
11.00 178.07 31.56 136.16 30.22 -15.45 24.79
11.07 179.95 30.29 137.65 31.87 -16.82 26.64
11.14 181.80 28.86 139.15 29.80 -20.12 27.70
11.21 183.93 27.44 140.69 29.18 -18.62 29.48
11.29 186.17 26.22 142.41 29.19 -17.69 27.19
11.36 188.46 25.05 144.10 30.53 -20.36 27.87
11.43 190.85 23.61 145.87 31.77 -22.64 27.23
